iter	Passed	Remaining
1284	106941	311087
1285	107023	311000
1286	107110	310928
1287	107187	310826
1288	107259	310710
1289	107331	310594
1290	107412	310507
1291	107496	310423
1292	107579	310341
1293	107663	310261
1294	107749	310185
1295	107832	310100
1296	107914	310016
1297	107999	309935
1298	108079	309845
1299	108163	309763
1300	108246	309678
1301	108328	309593
1302	108411	309508
1303	108493	309423
1304	108576	309338
1305	108659	309253
1306	108741	309169
1307	108823	309081
1308	108905	308996
1309	108985	308903
1310	109067	308815
1311	109154	308742
1312	109231	308642
1313	109302	308527
1314	109385	308442
1315	109468	308358
1316	109551	308274
1317	109636	308195
1318	109719	308112
1319	109800	308024
1320	109882	307938
1321	109963	307848
1322	110046	307764
1323	110129	307680
1324	110212	307598
1325	110294	307511
1326	110378	307428
1327	110462	307348
1328	110547	307269
1329	110630	307185
1330	110713	307102
1331	110796	307020
1332	110881	306940
1333	110965	306860
1334	111048	306775
1335	111130	306691
1336	111217	306616
1337	111299	306530
1338	111381	306445
1339	111464	306362
1340	111549	306283
1341	111633	306201
1342	111716	306119
1343	111799	306033
1344	111882	305949
1345	111965	305867
1346	112047	305780
1347	112130	305697
1348	112213	305614
1349	112295	305526
1350	112379	305446
1351	112462	305363
1352	112547	305284
1353	112629	305198
1354	112711	305111
1355	112794	305028
1356	112876	304941
1357	112954	304843
1358	113030	304740
1359	113108	304643
1360	113186	304546
1361	113265	304451
1362	113343	304355
1363	113423	304263
1364	113501	304166
1365	113580	304073
1366	113658	303976
1367	113735	303877
1368	113812	303777
1369	113891	303681
1370	113971	303591
1371	114049	303494
1372	114118	303374
1373	114194	303270
1374	114276	303186
1375	114360	303105
1376	114441	303016
1377	114522	302926
1378	114604	302840
1379	114686	302756
1380	114772	302681
1381	114855	302596
1382	114941	302520
1383	115024	302437
1384	115107	302355
1385	115189	302269
1386	115274	302189
1387	115357	302107
1388	115442	302027
1389	115525	301945
1390	115606	301857
1391	115690	301775
1392	115774	301695
1393	115859	301617
1394	115943	301535
1395	116025	301450
1396	116106	301362
1397	116187	301273
1398	116270	301189
1399	116352	301103
1400	116434	301018
1401	116519	300939
1402	116599	300847
1403	116670	300734
1404	116744	300627
1405	116827	300545
1406	116909	300457
1407	116993	300378
1408	117077	300297
1409	117161	300214
1410	117245	300135
1411	117330	300057
1412	117418	299985
1413	117504	299911
1414	117590	299834
1415	117674	299754
1416	117758	299674
1417	117844	299598
1418	117928	299515
1419	118011	299433
1420	118095	299352
